time_ms,V_mem
8.747874787478748715e+01,3.281386454797072900e-05
8.748874887488749152e+01,3.278105068342276028e-05
8.749874987498751011e+01,3.274826963273933894e-05
8.750875087508751449e+01,3.271552136310659835e-05
8.751875187518751886e+01,3.268280584174348930e-05
8.752875287528753745e+01,3.265012303590174617e-05
8.753875387538754183e+01,3.261747291286584623e-05
8.754875487548754620e+01,3.258485543995298255e-05
8.755875587558756479e+01,3.255227058451303011e-05
8.756875687568756916e+01,3.251971831392851873e-05
8.757875787578758775e+01,3.248719859561459238e-05
8.758875887588759213e+01,3.245471139701897528e-05
8.759875987598759650e+01,3.242225668562195840e-05
8.760876087608761509e+01,3.238983442893633843e-05
8.761876187618761946e+01,3.235744459450740426e-05
8.762876287628763805e+01,3.232508714991289629e-05
8.763876387638764243e+01,3.229276206276298614e-05
8.764876487648764680e+01,3.226046930070022238e-05
8.765876587658766539e+01,3.222820883139952382e-05
8.766876687668766976e+01,3.219598062256812527e-05
8.767876787678768835e+01,3.216378464194555721e-05
8.768876887688769273e+01,3.213162085730361190e-05
8.769876987698769710e+01,3.209948923644630951e-05
8.770877087708771569e+01,3.206738974720986426e-05
8.771877187718772007e+01,3.203532235746265727e-05
8.772877287728773865e+01,3.200328703510519593e-05
8.773877387738774303e+01,3.197128374807009358e-05
8.774877487748774740e+01,3.193931246432202205e-05
8.775877587758776599e+01,3.190737315185769812e-05
8.776877687768777037e+01,3.187546577870584288e-05
8.777877787778778895e+01,3.184359031292713425e-05
8.778877887788779333e+01,3.181174672261420704e-05
8.779877987798779770e+01,3.177993497589159190e-05
8.780878087808781629e+01,3.174815504091570183e-05
8.781878187818782067e+01,3.171640688587478471e-05
8.782878287828783925e+01,3.168469047898890973e-05
8.783878387838784363e+01,3.165300578850992002e-05
8.784878487848784800e+01,3.162135278272141224e-05
8.785878587858786659e+01,3.158973142993868921e-05
8.786878687868787097e+01,3.155814169850875312e-05
8.787878787878788955e+01,3.152658355681024451e-05
8.788878887888789393e+01,3.149505697325343553e-05
8.789878987898789831e+01,3.146356191628018250e-05
8.790879087908791689e+01,3.143209835436390557e-05
8.791879187918792127e+01,3.140066625600954129e-05
8.792879287928793985e+01,3.136926558975352907e-05
8.793879387938794423e+01,3.133789632416377727e-05
8.794879487948794861e+01,3.130655842783961580e-05
8.795879587958796719e+01,3.127525186941177576e-05
8.796879687968797157e+01,3.124397661754236237e-05
8.797879787978799015e+01,3.121273264092482106e-05
8.798879887988799453e+01,3.118151990828389681e-05
8.799879987998799891e+01,3.115033838837561386e-05
8.800880088008801749e+01,3.111918804998723499e-05
8.801880188018802187e+01,3.108806886193724804e-05
8.802880288028802624e+01,3.105698079307531162e-05
8.803880388038804483e+01,3.102592381228223487e-05
8.804880488048804921e+01,3.099489788846995027e-05
8.805880588058806779e+01,3.096390299058147981e-05
8.806880688068807217e+01,3.093293908759090112e-05
8.807880788078807655e+01,3.090200614850331353e-05
8.808880888088809513e+01,3.087110414235481100e-05
8.809880988098809951e+01,3.084023303821245506e-05
8.810881088108811809e+01,3.080939280517424082e-05
8.811881188118812247e+01,3.077858341236906320e-05
8.812881288128812685e+01,3.074780482895669652e-05
8.813881388138814543e+01,3.071705702412774036e-05
8.814881488148814981e+01,3.068633996710361272e-05
8.815881588158816839e+01,3.065565362713650938e-05
8.816881688168817277e+01,3.062499797350937006e-05
8.817881788178817715e+01,3.059437297553585804e-05
8.818881888188819573e+01,3.056377860256031951e-05
8.819881988198820011e+01,3.053321482395775650e-05
8.820882088208821870e+01,3.050268160913379974e-05
8.821882188218822307e+01,3.047217892752466462e-05
8.822882288228822745e+01,3.044170674859714105e-05
8.823882388238824603e+01,3.041126504184854260e-05
8.824882488248825041e+01,3.038085377680669298e-05
8.825882588258826900e+01,3.035047292302988536e-05
8.826882688268827337e+01,3.032012245010685527e-05
8.827882788278827775e+01,3.028980232765674673e-05
8.828882888288829633e+01,3.025951252532908854e-05
8.829882988298830071e+01,3.022925301280376037e-05
8.830883088308831930e+01,3.019902375979095549e-05
8.831883188318832367e+01,3.016882473603116387e-05
8.832883288328832805e+01,3.013865591129513149e-05
8.833883388338834664e+01,3.010851725538383662e-05
8.834883488348835101e+01,3.007840873812845257e-05
8.835883588358836960e+01,3.004833032939032396e-05
8.836883688368837397e+01,3.001828199906093284e-05
8.837883788378837835e+01,2.998826371706187161e-05
8.838883888388839694e+01,2.995827545334480907e-05
8.839883988398840131e+01,2.992831717789146340e-05
8.840884088408841990e+01,2.989838886071357162e-05
8.841884188418842427e+01,2.986849047185285909e-05
8.842884288428842865e+01,2.983862198138100566e-05
8.843884388438844724e+01,2.980878335939962531e-05
8.844884488448845161e+01,2.977897457604022552e-05
8.845884588458847020e+01,2.974919560146418692e-05
8.846884688468847457e+01,2.971944640586272264e-05
8.847884788478847895e+01,2.968972695945686137e-05
8.848884888488849754e+01,2.966003723249740332e-05
8.849884988498850191e+01,2.963037719526490665e-05
8.850885088508850629e+01,2.960074681806964007e-05
8.851885188518852488e+01,2.957114607125156924e-05
8.852885288528852925e+01,2.954157492518031614e-05
8.853885388538854784e+01,2.951203335025513538e-05
8.854885488548855221e+01,2.948252131690488024e-05
8.855885588558855659e+01,2.945303879558797567e-05
8.856885688568857518e+01,2.942358575679238769e-05
8.857885788578857955e+01,2.939416217103559638e-05
8.858885888588859814e+01,2.936476800886456191e-05
8.859885988598860251e+01,2.933540324085569752e-05
8.860886088608860689e+01,2.930606783761484236e-05
8.861886188618862548e+01,2.927676176977722761e-05
8.862886288628862985e+01,2.924748500800744940e-05
8.863886388638864844e+01,2.921823752299944170e-05
8.864886488648865281e+01,2.918901928547644242e-05
